Photo,Replicate,x,y,z,width
IMG_9121.JPG,1,3.418,30.797,-98.043,30.797
IMG_9121.JPG,2,2.246,20.23,108.138,20.23
IMG_9121.JPG,3,6.543,59.153,11.31,59.153
IMG_9121.JPG,4,5.615,50.665,-122.442,50.665
IMG_9121.JPG,5,7.507,67.853,-14.715,67.853
IMG_9121.JPG,6,2.905,26.187,89.275,26.187
IMG_9121.JPG,7,2.722,24.528,-18.925,24.528
IMG_9121.JPG,8,4.297,38.781,52.64,38.781
IMG_9121.JPG,9,5.981,54.063,-34.762,54.063
IMG_9121.JPG,10,5.859,52.884,139.321,52.884
IMG_9121.JPG,11,5.737,51.793,93.302,51.793
IMG_9121.JPG,12,5.737,51.819,50.711,51.819
IMG_9121.JPG,13,4.187,37.791,52.125,37.791
IMG_9121.JPG,14,3.625,32.7,79.487,32.7
IMG_9121.JPG,15,2.002,17.975,95.29,17.975
IMG_9121.JPG,16,3.406,30.752,97.431,30.752
IMG_9123.JPG,1,5.701,62.115,48.409,62.115
IMG_9123.JPG,2,4.357,47.473,-67.891,47.473
IMG_9123.JPG,3,4.844,52.739,26.298,52.739
IMG_9123.JPG,4,4.349,47.359,7.001,47.359
IMG_9123.JPG,5,2.536,27.546,-53.931,27.546
IMG_9123.JPG,6,1.755,19.065,28.413,19.065
IMG_9123.JPG,7,0.949,10.23,59.3,10.23
IMG_9123.JPG,8,1.083,11.721,-39.289,11.721
IMG_9123.JPG,9,0.974,10.521,56.725,10.521
IMG_9123.JPG,10,2.494,27.136,76.527,27.136
IMG_9123.JPG,11,2.813,30.573,-3.608,30.573
IMG_9123.JPG,12,4.576,49.883,113.033,49.883
IMG_9123.JPG,13,2.418,26.299,-48.814,26.299
IMG_9123.JPG,14,3.283,35.735,30.51,35.735
IMG_9123.JPG,15,2.796,30.403,75.336,30.403
IMG_9123.JPG,16,3.711,40.454,64.654,40.454
IMG_9123.JPG,17,2.552,27.796,-44.599,27.796
IMG_9123.JPG,18,4.962,54.097,39.433,54.097
IMG_9123.JPG,19,0.579,6.268,105.255,6.268
IMG_9124.JPG,1,1.954,21.893,-94.185,21.893
IMG_9124.JPG,2,2.033,22.79,83.29,22.79
IMG_9124.JPG,3,3.017,33.931,-31.195,33.931
IMG_9124.JPG,4,5.436,61.197,-45.529,61.197
IMG_9124.JPG,5,2.97,33.349,62.412,33.349
IMG_9124.JPG,6,1.268,14.203,83.541,14.203
IMG_9124.JPG,7,0.843,9.381,-55.408,9.381
